"ID of node","ID of scope"
4212,4207
4213,4207
4218,4216
4222,4216
4223,4216
4225,4216
4228,4216
4229,4216
4232,4216
4233,4216
4237,4216
4239,4216
4240,4216
4241,4216
4242,4216
4247,4216
4248,4216
4253,4216
4254,4216
4255,4216
4260,4216
4261,4216
4262,4216
4267,4216
4268,4216
4270,4216
4272,4216
4273,4216
4274,4216
4275,4216
4279,4216
4280,4216
4282,4216
4286,4216
4289,4216
4290,4216
4294,4216
4295,4216
4299,4216
4300,4216
4301,4216
4307,4216
4310,4216
4311,4216
4312,4216
4313,4216
4317,4216
4318,4216
4319,4216
4323,4216
4324,4216
4326,4216
4328,4216
4329,4216
4332,4216
4333,4216
4335,4216
4338,4216
4339,4216
4340,4216
4341,4216
4345,4216
4347,4216
4348,4216
4349,4216
4351,4216
4354,4207
