"ID of node","ID of immediate_dominator"
4343,4344
4345,4343
4346,4345
4347,4346
4348,4347
4349,4348
4350,4349
4351,4350
4352,4351
4353,4352
4354,4353
4355,4354
4356,4355
4357,4356
4358,4357
4359,4358
4360,4359
4361,4360
4367,4366
4368,4367
4369,4368
4370,4369
4371,4370
4377,4376
4378,4377
4379,4378
4380,4379
4381,4380
4382,4381
4383,4382
4384,4383
4385,4384
4386,4385
4387,4386
4388,4387
4389,4388
4390,4389
4393,4392
4394,4393
4395,4394
4396,4395
4397,4396
4398,4385
4399,4398
4400,4399
4401,4400
4402,4401
4403,4402
4404,4403
4408,4409
4410,4408
4411,4410
