"ID of id","ID of parent"
4406,4212
4407,4213
4409,4218
4410,4222
4411,4223
4412,4224
4413,4228
4414,4229
4415,4230
4416,4231
4417,4233
4418,4236
4419,4237
4420,4239
4421,4240
4422,4243
4423,4244
4424,4246
4425,4247
4426,4251
4427,4252
4428,4255
4429,4256
4430,4259
4431,4260
4432,4264
4433,4265
4434,4269
4435,4270
4436,4271
4437,4275
4438,4276
4439,4277
4440,4280
4441,4283
4442,4284
4443,4285
4444,4288
4445,4291
4446,4292
4447,4295
4448,4296
4449,4297
4450,4300
4451,4303
4452,4304
4453,4307
4454,4308
4455,4312
4456,4313
4457,4316
4458,4317
4459,4318
4460,4319
4461,4323
4462,4326
4463,4329
4464,4330
4465,4331
4466,4335
4467,4337
4468,4340
