"ID of id","ID of parent"
4414,4212
4415,4213
4417,4218
4418,4222
4419,4223
4420,4224
4421,4225
4422,4226
4423,4233
4424,4234
4425,4237
4426,4238
4427,4239
4428,4240
4429,4241
4430,4247
4431,4248
4432,4249
4433,4250
4434,4251
4435,4256
4436,4257
4437,4260
4438,4261
4439,4263
4440,4265
4441,4266
4442,4267
4443,4268
4444,4269
4445,4271
4446,4273
4447,4274
4448,4276
4449,4277
4450,4279
4451,4280
4452,4281
4453,4282
4454,4283
4455,4285
4456,4287
4457,4288
4458,4290
4459,4293
4460,4296
4461,4297
4462,4300
4463,4303
4464,4304
4465,4305
4466,4306
4467,4310
4468,4311
4469,4312
4470,4316
4471,4317
4472,4319
4473,4320
4474,4323
4475,4326
4476,4327
4477,4328
4478,4329
4479,4330
4480,4335
4481,4336
4482,4340
