"ID of id","kind","ID of col2","idx"
4213,10,4212,1
4218,18,4217,0
4223,25,4222,1
4225,18,4224,0
4229,18,4228,1
4232,4,4228,2
4233,18,4232,2
4237,19,4236,0
4240,4,4239,1
4241,0,4240,2
4242,18,4241,2
4247,0,4246,0
4248,18,4247,2
4253,0,4252,1
4254,0,4253,2
4255,18,4254,2
4260,4,4259,1
4261,0,4260,2
4262,18,4261,2
4267,1,4266,1
4268,25,4267,2
4270,18,4267,4
4273,4,4272,1
4274,0,4273,2
4275,18,4274,2
4279,1,4278,0
4280,25,4279,2
4282,18,4279,4
4286,7,4285,1
4289,4,4288,1
4290,18,4289,2
4294,0,4293,0
4295,18,4294,2
4299,0,4288,2
4300,0,4299,2
4301,18,4300,2
4307,18,4306,0
4311,4,4310,1
4312,0,4311,2
4313,18,4312,2
4317,19,4316,0
4318,4,4316,1
4319,18,4318,2
4323,26,4322,0
4324,18,4323,2
4326,25,4323,3
4329,18,4328,1
4332,26,4328,2
4333,18,4332,2
4335,25,4332,3
4339,4,4338,1
4340,0,4339,2
4341,18,4340,2
4345,16,4344,0
4347,25,4346,0
4348,25,4346,1
4349,25,4346,2
4351,18,4344,1
4354,18,4353,0
